 n     ch_hole col3 col4 col5
    1001 -0.66581461E+01 -0.10294602E-16 -0.73158567E+01  0.36684888E-16
    1002 -0.66591263E+01 -0.10294931E-16 -0.73158567E+01  0.36684888E-16
    1003 -0.66600800E+01 -0.10294981E-16 -0.73158567E+01  0.36684888E-16
    1004 -0.66611778E+01 -0.10294836E-16 -0.73158567E+01  0.36684888E-16
    1005 -0.66623621E+01 -0.10294872E-16 -0.73158567E+01  0.36684888E-16
    1006 -0.66634547E+01 -0.10295644E-16 -0.73158567E+01  0.36684888E-16
    1007 -0.66645726E+01 -0.10295701E-16 -0.73158567E+01  0.36684888E-16
    1008 -0.66658661E+01 -0.10295799E-16 -0.73158567E+01  0.36684888E-16
    1009 -0.66672145E+01 -0.10295427E-16 -0.73158567E+01  0.36684888E-16
    1010 -0.66679682E+01 -0.10295999E-16 -0.73158567E+01  0.36684888E-16
    1011 -0.66691506E+01 -0.10297031E-16 -0.73158567E+01  0.36684888E-16
    1012 -0.66701176E+01 -0.10297201E-16 -0.73158567E+01  0.36684888E-16
    1013 -0.66711882E+01 -0.10297085E-16 -0.73158567E+01  0.36684888E-16
    1014 -0.66722942E+01 -0.10297522E-16 -0.73158567E+01  0.36684888E-16
    1015 -0.66733405E+01 -0.10297980E-16 -0.73158567E+01  0.36684888E-16
    1016 -0.66743744E+01 -0.10298031E-16 -0.73158567E+01  0.36684888E-16
    1017 -0.66754622E+01 -0.10298643E-16 -0.73158567E+01  0.36684888E-16
    1018 -0.66766049E+01 -0.10299942E-16 -0.73158567E+01  0.36684888E-16
    1019 -0.66775597E+01 -0.10299956E-16 -0.73158567E+01  0.36684888E-16
    1020 -0.66785382E+01 -0.10300121E-16 -0.73158567E+01  0.36684888E-16
    1021 -0.66794326E+01 -0.10300839E-16 -0.73158567E+01  0.36684888E-16
    1022 -0.66805115E+01 -0.10301333E-16 -0.73158567E+01  0.36684888E-16
    1023 -0.66814615E+01 -0.10301882E-16 -0.73158567E+01  0.36684888E-16
    1024 -0.66823880E+01 -0.10301719E-16 -0.73158567E+01  0.36684888E-16
    1025 -0.66835664E+01 -0.10301232E-16 -0.73158567E+01  0.36684888E-16
    1026 -0.66844195E+01 -0.10301723E-16 -0.73158567E+01  0.36684888E-16
    1027 -0.66853305E+01 -0.10301765E-16 -0.73158567E+01  0.36684888E-16
    1028 -0.66863948E+01 -0.10302508E-16 -0.73158567E+01  0.36684888E-16
    1029 -0.66873177E+01 -0.10302368E-16 -0.73158567E+01  0.36684888E-16
    1030 -0.66881560E+01 -0.10302471E-16 -0.73158567E+01  0.36684888E-16
    1031 -0.66891717E+01 -0.10301911E-16 -0.73158567E+01  0.36684888E-16
    1032 -0.66901504E+01 -0.10302293E-16 -0.73158567E+01  0.36684888E-16
    1033 -0.66910123E+01 -0.10302297E-16 -0.73158567E+01  0.36684888E-16
    1034 -0.66919181E+01 -0.10302923E-16 -0.73158567E+01  0.36684888E-16
    1035 -0.66927727E+01 -0.10302925E-16 -0.73158567E+01  0.36684888E-16
    1036 -0.66937134E+01 -0.10303269E-16 -0.73158567E+01  0.36684888E-16
    1037 -0.66944701E+01 -0.10303677E-16 -0.73158567E+01  0.36684888E-16
    1038 -0.66956530E+01 -0.10303734E-16 -0.73158567E+01  0.36684888E-16
    1039 -0.66965329E+01 -0.10303346E-16 -0.73158567E+01  0.36684888E-16
    1040 -0.66974890E+01 -0.10303850E-16 -0.73158567E+01  0.36684888E-16
    1041 -0.66983350E+01 -0.10303535E-16 -0.73158567E+01  0.36684888E-16
    1042 -0.66992227E+01 -0.10304150E-16 -0.73158567E+01  0.36684888E-16
    1043 -0.67003474E+01 -0.10304683E-16 -0.73158567E+01  0.36684888E-16
    1044 -0.67012131E+01 -0.10304989E-16 -0.73158567E+01  0.36684888E-16
    1045 -0.67021441E+01 -0.10305350E-16 -0.73158567E+01  0.36684888E-16
    1046 -0.67030790E+01 -0.10305232E-16 -0.73158567E+01  0.36684888E-16
    1047 -0.67040166E+01 -0.10304727E-16 -0.73158567E+01  0.36684888E-16
    1048 -0.67050237E+01 -0.10305107E-16 -0.73158567E+01  0.36684888E-16
    1049 -0.67059766E+01 -0.10305197E-16 -0.73158567E+01  0.36684888E-16
    1050 -0.67071022E+01 -0.10305884E-16 -0.73158567E+01  0.36684888E-16
    1051 -0.67080791E+01 -0.10306263E-16 -0.73158567E+01  0.36684888E-16
    1052 -0.67091138E+01 -0.10306462E-16 -0.73158567E+01  0.36684888E-16
    1053 -0.67097510E+01 -0.10306588E-16 -0.73158567E+01  0.36684888E-16
    1054 -0.67106426E+01 -0.10306759E-16 -0.73158567E+01  0.36684888E-16
    1055 -0.67117020E+01 -0.10307067E-16 -0.73158567E+01  0.36684888E-16
    1056 -0.67126103E+01 -0.10306908E-16 -0.73158567E+01  0.36684888E-16
    1057 -0.67135550E+01 -0.10306881E-16 -0.73158567E+01  0.36684888E-16
    1058 -0.67145495E+01 -0.10307143E-16 -0.73158567E+01  0.36684888E-16
    1059 -0.67155231E+01 -0.10307244E-16 -0.73158567E+01  0.36684888E-16
    1060 -0.67165246E+01 -0.10307572E-16 -0.73158567E+01  0.36684888E-16
    1061 -0.67174355E+01 -0.10307594E-16 -0.73158567E+01  0.36684888E-16
    1062 -0.67183946E+01 -0.10308012E-16 -0.73158567E+01  0.36684888E-16
    1063 -0.67193490E+01 -0.10307976E-16 -0.73158567E+01  0.36684888E-16
    1064 -0.67203653E+01 -0.10308369E-16 -0.73158567E+01  0.36684888E-16
    1065 -0.67212588E+01 -0.10308352E-16 -0.73158567E+01  0.36684888E-16
    1066 -0.67222941E+01 -0.10308653E-16 -0.73158567E+01  0.36684888E-16
    1067 -0.67230725E+01 -0.10308853E-16 -0.73158567E+01  0.36684888E-16
    1068 -0.67240547E+01 -0.10309530E-16 -0.73158567E+01  0.36684888E-16
    1069 -0.67248251E+01 -0.10309333E-16 -0.73158567E+01  0.36684888E-16
    1070 -0.67258161E+01 -0.10309936E-16 -0.73158567E+01  0.36684888E-16
    1071 -0.67267683E+01 -0.10309890E-16 -0.73158567E+01  0.36684888E-16
    1072 -0.67276501E+01 -0.10309894E-16 -0.73158567E+01  0.36684888E-16
    1073 -0.67284631E+01 -0.10310137E-16 -0.73158567E+01  0.36684888E-16
    1074 -0.67294521E+01 -0.10310016E-16 -0.73158567E+01  0.36684888E-16
    1075 -0.67303265E+01 -0.10309682E-16 -0.73158567E+01  0.36684888E-16
    1076 -0.67310180E+01 -0.10309385E-16 -0.73158567E+01  0.36684888E-16
    1077 -0.67317366E+01 -0.10309466E-16 -0.73158567E+01  0.36684888E-16
    1078 -0.67328300E+01 -0.10309824E-16 -0.73158567E+01  0.36684888E-16
    1079 -0.67337708E+01 -0.10310007E-16 -0.73158567E+01  0.36684888E-16
    1080 -0.67349097E+01 -0.10310234E-16 -0.73158567E+01  0.36684888E-16
    1081 -0.67358451E+01 -0.10310797E-16 -0.73158567E+01  0.36684888E-16
    1082 -0.67369620E+01 -0.10311235E-16 -0.73158567E+01  0.36684888E-16
    1083 -0.67377811E+01 -0.10311279E-16 -0.73158567E+01  0.36684888E-16
    1084 -0.67386057E+01 -0.10311489E-16 -0.73158567E+01  0.36684888E-16
    1085 -0.67395773E+01 -0.10311076E-16 -0.73158567E+01  0.36684888E-16
    1086 -0.67407366E+01 -0.10311074E-16 -0.73158567E+01  0.36684888E-16
    1087 -0.67417569E+01 -0.10311197E-16 -0.73158567E+01  0.36684888E-16
    1088 -0.67426383E+01 -0.10311289E-16 -0.73158567E+01  0.36684888E-16
    1089 -0.67435277E+01 -0.10311526E-16 -0.73158567E+01  0.36684888E-16
    1090 -0.67443500E+01 -0.10311711E-16 -0.73158567E+01  0.36684888E-16
    1091 -0.67450829E+01 -0.10312153E-16 -0.73158567E+01  0.36684888E-16
    1092 -0.67458575E+01 -0.10311815E-16 -0.73158567E+01  0.36684888E-16
    1093 -0.67468717E+01 -0.10311822E-16 -0.73158567E+01  0.36684888E-16
    1094 -0.67479007E+01 -0.10311774E-16 -0.73158567E+01  0.36684888E-16
    1095 -0.67486337E+01 -0.10311953E-16 -0.73158567E+01  0.36684888E-16
    1096 -0.67495775E+01 -0.10311872E-16 -0.73158567E+01  0.36684888E-16
    1097 -0.67505813E+01 -0.10312295E-16 -0.73158567E+01  0.36684888E-16
    1098 -0.67514467E+01 -0.10312453E-16 -0.73158567E+01  0.36684888E-16
    1099 -0.67524710E+01 -0.10312898E-16 -0.73158567E+01  0.36684888E-16
    1100 -0.67533753E+01 -0.10312886E-16 -0.73158567E+01  0.36684888E-16
    1101 -0.67542396E+01 -0.10313005E-16 -0.73158567E+01  0.36684888E-16
    1102 -0.67549551E+01 -0.10313121E-16 -0.73158567E+01  0.36684888E-16
    1103 -0.67558060E+01 -0.10313198E-16 -0.73158567E+01  0.36684888E-16
    1104 -0.67566369E+01 -0.10313537E-16 -0.73158567E+01  0.36684888E-16
    1105 -0.67576582E+01 -0.10313493E-16 -0.73158567E+01  0.36684888E-16
    1106 -0.67584888E+01 -0.10313039E-16 -0.73158567E+01  0.36684888E-16
    1107 -0.67591299E+01 -0.10313359E-16 -0.73158567E+01  0.36684888E-16
    1108 -0.67599684E+01 -0.10314026E-16 -0.73158567E+01  0.36684888E-16
    1109 -0.67610324E+01 -0.10314324E-16 -0.73158567E+01  0.36684888E-16
    1110 -0.67619209E+01 -0.10313823E-16 -0.73158567E+01  0.36684888E-16
    1111 -0.67628209E+01 -0.10313449E-16 -0.73158567E+01  0.36684888E-16
    1112 -0.67636605E+01 -0.10313565E-16 -0.73158567E+01  0.36684888E-16
    1113 -0.67645204E+01 -0.10313382E-16 -0.73158567E+01  0.36684888E-16
    1114 -0.67654691E+01 -0.10313391E-16 -0.73158567E+01  0.36684888E-16
    1115 -0.67661156E+01 -0.10313304E-16 -0.73158567E+01  0.36684888E-16
    1116 -0.67670192E+01 -0.10313617E-16 -0.73158567E+01  0.36684888E-16
    1117 -0.67678512E+01 -0.10313837E-16 -0.73158567E+01  0.36684888E-16
    1118 -0.67688088E+01 -0.10313742E-16 -0.73158567E+01  0.36684888E-16
    1119 -0.67696078E+01 -0.10313725E-16 -0.73158567E+01  0.36684888E-16
    1120 -0.67705200E+01 -0.10313515E-16 -0.73158567E+01  0.36684888E-16
    1121 -0.67715046E+01 -0.10313162E-16 -0.73158567E+01  0.36684888E-16
    1122 -0.67722610E+01 -0.10313372E-16 -0.73158567E+01  0.36684888E-16
    1123 -0.67730849E+01 -0.10313796E-16 -0.73158567E+01  0.36684888E-16
    1124 -0.67738061E+01 -0.10314024E-16 -0.73158567E+01  0.36684888E-16
    1125 -0.67745327E+01 -0.10314266E-16 -0.73158567E+01  0.36684888E-16
    1126 -0.67753592E+01 -0.10314498E-16 -0.73158567E+01  0.36684888E-16
    1127 -0.67760466E+01 -0.10315269E-16 -0.73158567E+01  0.36684888E-16
    1128 -0.67768508E+01 -0.10315788E-16 -0.73158567E+01  0.36684888E-16
    1129 -0.67776496E+01 -0.10316058E-16 -0.73158567E+01  0.36684888E-16
    1130 -0.67783698E+01 -0.10315924E-16 -0.73158567E+01  0.36684888E-16
    1131 -0.67790246E+01 -0.10316075E-16 -0.73158567E+01  0.36684888E-16
    1132 -0.67798622E+01 -0.10315937E-16 -0.73158567E+01  0.36684888E-16
    1133 -0.67807293E+01 -0.10316078E-16 -0.73158567E+01  0.36684888E-16
    1134 -0.67817263E+01 -0.10316475E-16 -0.73158567E+01  0.36684888E-16
    1135 -0.67824489E+01 -0.10316545E-16 -0.73158567E+01  0.36684888E-16
    1136 -0.67831852E+01 -0.10317066E-16 -0.73158567E+01  0.36684888E-16
    1137 -0.67839159E+01 -0.10317502E-16 -0.73158567E+01  0.36684888E-16
    1138 -0.67848715E+01 -0.10318034E-16 -0.73158567E+01  0.36684888E-16
    1139 -0.67857846E+01 -0.10318026E-16 -0.73158567E+01  0.36684888E-16
    1140 -0.67864507E+01 -0.10318267E-16 -0.73158567E+01  0.36684888E-16
    1141 -0.67871968E+01 -0.10318375E-16 -0.73158567E+01  0.36684888E-16
    1142 -0.67879274E+01 -0.10318821E-16 -0.73158567E+01  0.36684888E-16
    1143 -0.67887707E+01 -0.10319076E-16 -0.73158567E+01  0.36684888E-16
    1144 -0.67899153E+01 -0.10319582E-16 -0.73158567E+01  0.36684888E-16
    1145 -0.67910341E+01 -0.10320161E-16 -0.73158567E+01  0.36684888E-16
    1146 -0.67919658E+01 -0.10319989E-16 -0.73158567E+01  0.36684888E-16
    1147 -0.67928482E+01 -0.10320409E-16 -0.73158567E+01  0.36684888E-16
    1148 -0.67939030E+01 -0.10320634E-16 -0.73158567E+01  0.36684888E-16
    1149 -0.67948720E+01 -0.10320779E-16 -0.73158567E+01  0.36684888E-16
    1150 -0.67958745E+01 -0.10320864E-16 -0.73158567E+01  0.36684888E-16
    1151 -0.67969275E+01 -0.10321313E-16 -0.73158567E+01  0.36684888E-16
    1152 -0.67979699E+01 -0.10320897E-16 -0.73158567E+01  0.36684888E-16
    1153 -0.67988923E+01 -0.10321175E-16 -0.73158567E+01  0.36684888E-16
    1154 -0.67998867E+01 -0.10321110E-16 -0.73158567E+01  0.36684888E-16
    1155 -0.68008492E+01 -0.10320770E-16 -0.73158567E+01  0.36684888E-16
    1156 -0.68018920E+01 -0.10321112E-16 -0.73158567E+01  0.36684888E-16
    1157 -0.68026872E+01 -0.10321188E-16 -0.73158567E+01  0.36684888E-16
    1158 -0.68034862E+01 -0.10321121E-16 -0.73158567E+01  0.36684888E-16
    1159 -0.68042390E+01 -0.10321310E-16 -0.73158567E+01  0.36684888E-16
    1160 -0.68051249E+01 -0.10321714E-16 -0.73158567E+01  0.36684888E-16
    1161 -0.68059144E+01 -0.10321962E-16 -0.73158567E+01  0.36684888E-16
    1162 -0.68066768E+01 -0.10322105E-16 -0.73158567E+01  0.36684888E-16
    1163 -0.68075836E+01 -0.10322617E-16 -0.73158567E+01  0.36684888E-16
    1164 -0.68085533E+01 -0.10323030E-16 -0.73158567E+01  0.36684888E-16
    1165 -0.68093614E+01 -0.10323191E-16 -0.73158567E+01  0.36684888E-16
    1166 -0.68102795E+01 -0.10323256E-16 -0.73158567E+01  0.36684888E-16
    1167 -0.68112325E+01 -0.10322899E-16 -0.73158567E+01  0.36684888E-16
    1168 -0.68120081E+01 -0.10322991E-16 -0.73158567E+01  0.36684888E-16
    1169 -0.68129757E+01 -0.10322741E-16 -0.73158567E+01  0.36684888E-16
    1170 -0.68137349E+01 -0.10322867E-16 -0.73158567E+01  0.36684888E-16
    1171 -0.68145237E+01 -0.10323017E-16 -0.73158567E+01  0.36684888E-16
    1172 -0.68153250E+01 -0.10323263E-16 -0.73158567E+01  0.36684888E-16
    1173 -0.68162272E+01 -0.10323216E-16 -0.73158567E+01  0.36684888E-16
    1174 -0.68169059E+01 -0.10323021E-16 -0.73158567E+01  0.36684888E-16
    1175 -0.68175947E+01 -0.10322940E-16 -0.73158567E+01  0.36684888E-16
    1176 -0.68182739E+01 -0.10323039E-16 -0.73158567E+01  0.36684888E-16
