 n     ch_hole col3 col4 col5
       1 -0.41971831E-03 -0.13083517E-19 -0.76075473E+01  0.56990402E-17
       2 -0.52442562E-03 -0.16325584E-19 -0.76075473E+01  0.56990402E-17
       3 -0.69636907E-03 -0.22764756E-19 -0.76075473E+01  0.56990402E-17
       4 -0.10841524E-02 -0.31637993E-19 -0.76075473E+01  0.56990402E-17
       5 -0.11265944E-02 -0.34418937E-19 -0.76075473E+01  0.56990402E-17
       6 -0.19943546E-02 -0.45962555E-19 -0.76075473E+01  0.56990402E-17
       7 -0.15619271E-02 -0.55803688E-19 -0.76075473E+01  0.56990402E-17
       8 -0.20704761E-03 -0.63871195E-19 -0.76075473E+01  0.56990402E-17
       9 -0.11201196E-02 -0.83759398E-19 -0.76075473E+01  0.56990402E-17
      10 -0.14618168E-02 -0.99341383E-19 -0.76075473E+01  0.56990402E-17
      11 -0.48439825E-03 -0.10613315E-18 -0.76075473E+01  0.56990402E-17
      12 -0.70823677E-03 -0.10547166E-18 -0.76075473E+01  0.56990402E-17
      13 -0.84680766E-03 -0.10568006E-18 -0.76075473E+01  0.56990402E-17
      14  0.88221549E-04 -0.11296124E-18 -0.76075473E+01  0.56990402E-17
      15 -0.48023109E-04 -0.11134610E-18 -0.76075473E+01  0.56990402E-17
      16 -0.65674858E-03 -0.11735028E-18 -0.76075473E+01  0.56990402E-17
      17 -0.77606719E-03 -0.12070508E-18 -0.76075473E+01  0.56990402E-17
      18 -0.93639115E-03 -0.12382134E-18 -0.76075473E+01  0.56990402E-17
      19 -0.25847506E-02 -0.13867810E-18 -0.76075473E+01  0.56990402E-17
      20 -0.35453157E-02 -0.13747517E-18 -0.76075473E+01  0.56990402E-17
      21 -0.35158926E-02 -0.14018379E-18 -0.76075473E+01  0.56990402E-17
      22 -0.45470531E-02 -0.14212716E-18 -0.76075473E+01  0.56990402E-17
      23 -0.44961319E-02 -0.14630856E-18 -0.76075473E+01  0.56990402E-17
      24 -0.35317326E-02 -0.14653375E-18 -0.76075473E+01  0.56990402E-17
      25 -0.52611913E-02 -0.14156682E-18 -0.76075473E+01  0.56990402E-17
      26 -0.59559717E-02 -0.13776968E-18 -0.76075473E+01  0.56990402E-17
      27 -0.60190631E-02 -0.14240014E-18 -0.76075473E+01  0.56990402E-17
      28 -0.66618167E-02 -0.14772313E-18 -0.76075473E+01  0.56990402E-17
      29 -0.70661848E-02 -0.14631751E-18 -0.76075473E+01  0.56990402E-17
      30 -0.65665654E-02 -0.14561483E-18 -0.76075473E+01  0.56990402E-17
      31 -0.66121102E-02 -0.14671578E-18 -0.76075473E+01  0.56990402E-17
      32 -0.66677470E-02 -0.14783998E-18 -0.76075473E+01  0.56990402E-17
      33 -0.62257804E-02 -0.14189020E-18 -0.76075473E+01  0.56990402E-17
      34 -0.57433580E-02 -0.14333674E-18 -0.76075473E+01  0.56990402E-17
      35 -0.51301441E-02 -0.14506355E-18 -0.76075473E+01  0.56990402E-17
      36 -0.50505397E-02 -0.13583524E-18 -0.76075473E+01  0.56990402E-17
      37 -0.48470262E-02 -0.12754631E-18 -0.76075473E+01  0.56990402E-17
      38 -0.46737405E-02 -0.12858632E-18 -0.76075473E+01  0.56990402E-17
      39 -0.40469243E-02 -0.12716864E-18 -0.76075473E+01  0.56990402E-17
      40 -0.38733326E-02 -0.12669333E-18 -0.76075473E+01  0.56990402E-17
      41 -0.37835463E-02 -0.12832311E-18 -0.76075473E+01  0.56990402E-17
      42 -0.37262708E-02 -0.12769620E-18 -0.76075473E+01  0.56990402E-17
      43 -0.35991375E-02 -0.12669346E-18 -0.76075473E+01  0.56990402E-17
      44 -0.33999432E-02 -0.12182944E-18 -0.76075473E+01  0.56990402E-17
      45 -0.29921190E-02 -0.12711227E-18 -0.76075473E+01  0.56990402E-17
      46 -0.24552250E-02 -0.12464324E-18 -0.76075473E+01  0.56990402E-17
      47 -0.17523972E-02 -0.12662231E-18 -0.76075473E+01  0.56990402E-17
      48 -0.10171040E-02 -0.12587150E-18 -0.76075473E+01  0.56990402E-17
      49 -0.12583046E-02 -0.12952085E-18 -0.76075473E+01  0.56990402E-17
      50 -0.13467814E-02 -0.13002804E-18 -0.76075473E+01  0.56990402E-17
      51 -0.17511821E-02 -0.13250426E-18 -0.76075473E+01  0.56990402E-17
      52 -0.22048787E-02 -0.13649006E-18 -0.76075473E+01  0.56990402E-17
