 n     ch_hole col3
     331 -0.48628659E+01 -0.12763285E-17
     332 -0.48641753E+01 -0.12763599E-17
     333 -0.48646870E+01 -0.12763748E-17
     334 -0.48655502E+01 -0.12764001E-17
     335 -0.48662893E+01 -0.12763986E-17
     336 -0.48677361E+01 -0.12764302E-17
     337 -0.48696070E+01 -0.12764343E-17
     338 -0.48710381E+01 -0.12764721E-17
     339 -0.48720879E+01 -0.12764403E-17
     340 -0.48725366E+01 -0.12764507E-17
     341 -0.48732847E+01 -0.12764718E-17
     342 -0.48741584E+01 -0.12765356E-17
     343 -0.48754187E+01 -0.12766193E-17
     344 -0.48764613E+01 -0.12766149E-17
     345 -0.48777095E+01 -0.12766863E-17
     346 -0.48789669E+01 -0.12767269E-17
     347 -0.48793906E+01 -0.12767404E-17
     348 -0.48806242E+01 -0.12767626E-17
     349 -0.48814507E+01 -0.12767486E-17
     350 -0.48822376E+01 -0.12768275E-17
     351 -0.48834480E+01 -0.12768740E-17
     352 -0.48845862E+01 -0.12768894E-17
     353 -0.48859367E+01 -0.12768758E-17
     354 -0.48870922E+01 -0.12768427E-17
     355 -0.48874221E+01 -0.12768403E-17
     356 -0.48882932E+01 -0.12768560E-17
     357 -0.48890416E+01 -0.12768889E-17
     358 -0.48897551E+01 -0.12769346E-17
     359 -0.48902624E+01 -0.12769271E-17
     360 -0.48907485E+01 -0.12769249E-17
     361 -0.48914772E+01 -0.12769417E-17
     362 -0.48925847E+01 -0.12769506E-17
     363 -0.48931564E+01 -0.12769508E-17
     364 -0.48937840E+01 -0.12769637E-17
     365 -0.48947175E+01 -0.12769367E-17
     366 -0.48954355E+01 -0.12769487E-17
     367 -0.48964705E+01 -0.12770305E-17
     368 -0.48975629E+01 -0.12770779E-17
     369 -0.48982898E+01 -0.12770867E-17
     370 -0.48995022E+01 -0.12770939E-17
     371 -0.48999925E+01 -0.12771037E-17
     372 -0.49006009E+01 -0.12771036E-17
     373 -0.49012542E+01 -0.12770963E-17
     374 -0.49017986E+01 -0.12771241E-17
     375 -0.49038473E+01 -0.12771405E-17
     376 -0.49046685E+01 -0.12771563E-17
     377 -0.49060116E+01 -0.12771804E-17
     378 -0.49074223E+01 -0.12774034E-17
     379 -0.49087918E+01 -0.12774051E-17
     380 -0.49094025E+01 -0.12774132E-17
     381 -0.49108346E+01 -0.12774469E-17
     382 -0.49121630E+01 -0.12775884E-17
     383 -0.49135847E+01 -0.12774882E-17
     384 -0.49160456E+01 -0.12778106E-17
     385 -0.49175485E+01 -0.12775939E-17
     386 -0.49190949E+01 -0.12775684E-17
     387 -0.49195637E+01 -0.12776200E-17
     388 -0.49201253E+01 -0.12776571E-17
     389 -0.49212543E+01 -0.12776452E-17
     390 -0.49223533E+01 -0.12778272E-17
     391 -0.49235654E+01 -0.12778245E-17
     392 -0.49245368E+01 -0.12777881E-17
     393 -0.49262613E+01 -0.12779524E-17
     394 -0.49270748E+01 -0.12779864E-17
     395 -0.49275851E+01 -0.12780169E-17
     396 -0.49288785E+01 -0.12780341E-17
