n     ch_hole col3
    1901 -0.56147076E+01 -0.12996385E-17
    1902 -0.56148967E+01 -0.12996438E-17
    1903 -0.56150704E+01 -0.12996393E-17
    1904 -0.56152342E+01 -0.12996433E-17
    1905 -0.56154057E+01 -0.12996460E-17
    1906 -0.56155331E+01 -0.12996483E-17
    1907 -0.56157455E+01 -0.12996464E-17
    1908 -0.56158842E+01 -0.12996433E-17
    1909 -0.56162433E+01 -0.12996500E-17
    1910 -0.56165098E+01 -0.12996486E-17
    1911 -0.56166293E+01 -0.12996505E-17
    1912 -0.56168493E+01 -0.12996458E-17
    1913 -0.56170502E+01 -0.12996503E-17
    1914 -0.56172611E+01 -0.12996624E-17
    1915 -0.56174170E+01 -0.12996641E-17
    1916 -0.56176396E+01 -0.12996655E-17
    1917 -0.56177890E+01 -0.12996643E-17
    1918 -0.56179756E+01 -0.12996648E-17
    1919 -0.56181314E+01 -0.12996654E-17
    1920 -0.56183603E+01 -0.12996564E-17
    1921 -0.56185001E+01 -0.12996583E-17
    1922 -0.56186409E+01 -0.12996604E-17
    1923 -0.56187923E+01 -0.12996625E-17
    1924 -0.56190152E+01 -0.12996605E-17
    1925 -0.56192340E+01 -0.12996637E-17
    1926 -0.56194358E+01 -0.12996631E-17
    1927 -0.56195547E+01 -0.12996615E-17
    1928 -0.56196168E+01 -0.12996617E-17
    1929 -0.56197170E+01 -0.12996610E-17
    1930 -0.56198501E+01 -0.12996599E-17
    1931 -0.56200291E+01 -0.12996538E-17
    1932 -0.56203940E+01 -0.12996539E-17
    1933 -0.56206120E+01 -0.12996493E-17
    1934 -0.56211205E+01 -0.12996452E-17
    1935 -0.56213496E+01 -0.12996463E-17
    1936 -0.56215175E+01 -0.12996454E-17
    1937 -0.56218741E+01 -0.12996448E-17
    1938 -0.56221559E+01 -0.12996542E-17
    1939 -0.56224993E+01 -0.12996575E-17
    1940 -0.56228909E+01 -0.12996565E-17
    1941 -0.56231938E+01 -0.12996554E-17
    1942 -0.56233893E+01 -0.12996588E-17
    1943 -0.56234892E+01 -0.12996537E-17
    1944 -0.56236261E+01 -0.12996492E-17
    1945 -0.56238306E+01 -0.12996499E-17
    1946 -0.56240970E+01 -0.12996541E-17
    1947 -0.56243438E+01 -0.12996537E-17
    1948 -0.56245183E+01 -0.12996558E-17
    1949 -0.56246674E+01 -0.12996587E-17
    1950 -0.56248887E+01 -0.12996602E-17
    1951 -0.56250896E+01 -0.12996583E-17
    1952 -0.56253006E+01 -0.12996597E-17
    1953 -0.56254976E+01 -0.12996574E-17
    1954 -0.56257333E+01 -0.12996563E-17
    1955 -0.56258714E+01 -0.12996541E-17
    1956 -0.56260501E+01 -0.12996622E-17
    1957 -0.56262563E+01 -0.12996578E-17
    1958 -0.56264419E+01 -0.12996585E-17
    1959 -0.56265888E+01 -0.12996577E-17
    1960 -0.56267143E+01 -0.12996580E-17
    1961 -0.56268564E+01 -0.12996582E-17
    1962 -0.56270112E+01 -0.12996638E-17
    1963 -0.56271364E+01 -0.12996640E-17
    1964 -0.56272801E+01 -0.12996668E-17
    1965 -0.56275011E+01 -0.12996573E-17
    1966 -0.56277343E+01 -0.12996602E-17
    1967 -0.56280090E+01 -0.12996600E-17
    1968 -0.56282980E+01 -0.12996611E-17
    1969 -0.56286022E+01 -0.12996610E-17
    1970 -0.56288911E+01 -0.12996526E-17
    1971 -0.56290440E+01 -0.12996497E-17
    1972 -0.56292776E+01 -0.12996460E-17
    1973 -0.56294708E+01 -0.12996489E-17
    1974 -0.56296663E+01 -0.12996524E-17
    1975 -0.56299387E+01 -0.12996611E-17
    1976 -0.56301987E+01 -0.12996567E-17
    1977 -0.56305474E+01 -0.12996655E-17
    1978 -0.56307849E+01 -0.12996656E-17
    1979 -0.56311843E+01 -0.12996706E-17
    1980 -0.56313962E+01 -0.12996668E-17
    1981 -0.56317581E+01 -0.12996819E-17
    1982 -0.56319371E+01 -0.12996895E-17
    1983 -0.56323713E+01 -0.12996977E-17
    1984 -0.56327165E+01 -0.12997005E-17
    1985 -0.56330072E+01 -0.12997087E-17
    1986 -0.56332816E+01 -0.12997187E-17
    1987 -0.56336047E+01 -0.12997179E-17
    1988 -0.56338266E+01 -0.12997229E-17
    1989 -0.56339910E+01 -0.12997245E-17
    1990 -0.56343103E+01 -0.12997200E-17
    1991 -0.56345480E+01 -0.12997291E-17
    1992 -0.56348120E+01 -0.12997258E-17
    1993 -0.56350423E+01 -0.12997237E-17
    1994 -0.56353869E+01 -0.12997183E-17
    1995 -0.56355922E+01 -0.12997223E-17
    1996 -0.56358340E+01 -0.12997190E-17
    1997 -0.56360903E+01 -0.12997159E-17
    1998 -0.56362859E+01 -0.12997166E-17
    1999 -0.56364527E+01 -0.12997183E-17
    2000 -0.56367971E+01 -0.12997262E-17
    2001 -0.56370795E+01 -0.12997302E-17
    2002 -0.56373065E+01 -0.12997418E-17
    2003 -0.56374991E+01 -0.12997454E-17
    2004 -0.56377248E+01 -0.12997397E-17
    2005 -0.56380017E+01 -0.12997440E-17
    2006 -0.56381613E+01 -0.12997562E-17
    2007 -0.56384088E+01 -0.12997511E-17
    2008 -0.56386322E+01 -0.12997604E-17
    2009 -0.56388931E+01 -0.12997565E-17
    2010 -0.56390878E+01 -0.12997601E-17
    2011 -0.56393857E+01 -0.12997558E-17
    2012 -0.56396241E+01 -0.12997559E-17
    2013 -0.56399398E+01 -0.12997473E-17
    2014 -0.56401220E+01 -0.12997425E-17
    2015 -0.56404172E+01 -0.12997431E-17
    2016 -0.56405736E+01 -0.12997442E-17
    2017 -0.56407060E+01 -0.12997408E-17
    2018 -0.56408303E+01 -0.12997436E-17
    2019 -0.56409993E+01 -0.12997464E-17
    2020 -0.56412469E+01 -0.12997460E-17
    2021 -0.56414130E+01 -0.12997467E-17
    2022 -0.56415755E+01 -0.12997462E-17
    2023 -0.56416939E+01 -0.12997496E-17
    2024 -0.56418370E+01 -0.12997530E-17
    2025 -0.56419685E+01 -0.12997536E-17
    2026 -0.56421202E+01 -0.12997533E-17
    2027 -0.56422394E+01 -0.12997546E-17
    2028 -0.56424757E+01 -0.12997472E-17
    2029 -0.56425863E+01 -0.12997458E-17
    2030 -0.56427067E+01 -0.12997505E-17
    2031 -0.56429295E+01 -0.12997448E-17
    2032 -0.56431414E+01 -0.12997419E-17
    2033 -0.56432735E+01 -0.12997374E-17
    2034 -0.56435761E+01 -0.12997418E-17
    2035 -0.56436719E+01 -0.12997416E-17
    2036 -0.56439656E+01 -0.12997421E-17
    2037 -0.56441886E+01 -0.12997443E-17
    2038 -0.56443714E+01 -0.12997396E-17
    2039 -0.56445080E+01 -0.12997415E-17
    2040 -0.56446999E+01 -0.12997338E-17
    2041 -0.56448104E+01 -0.12997339E-17
    2042 -0.56449098E+01 -0.12997351E-17
    2043 -0.56450691E+01 -0.12997323E-17
    2044 -0.56452295E+01 -0.12997325E-17
    2045 -0.56453828E+01 -0.12997306E-17
    2046 -0.56455556E+01 -0.12997296E-17
    2047 -0.56458117E+01 -0.12997308E-17
    2048 -0.56459551E+01 -0.12997262E-17
    2049 -0.56461651E+01 -0.12997234E-17
    2050 -0.56463987E+01 -0.12997308E-17
    2051 -0.56465077E+01 -0.12997288E-17
    2052 -0.56466252E+01 -0.12997314E-17
    2053 -0.56467971E+01 -0.12997287E-17
    2054 -0.56469656E+01 -0.12997300E-17
    2055 -0.56470808E+01 -0.12997309E-17
    2056 -0.56473029E+01 -0.12997329E-17
    2057 -0.56475521E+01 -0.12997234E-17
    2058 -0.56477698E+01 -0.12997236E-17
    2059 -0.56480475E+01 -0.12997243E-17
    2060 -0.56483328E+01 -0.12997259E-17
    2061 -0.56485548E+01 -0.12997253E-17
    2062 -0.56487170E+01 -0.12997264E-17
    2063 -0.56489764E+01 -0.12997231E-17
    2064 -0.56492021E+01 -0.12997225E-17
    2065 -0.56493346E+01 -0.12997191E-17
    2066 -0.56497451E+01 -0.12997086E-17
    2067 -0.56500405E+01 -0.12997126E-17
    2068 -0.56504329E+01 -0.12997127E-17
    2069 -0.56508109E+01 -0.12997169E-17
    2070 -0.56510184E+01 -0.12997191E-17
    2071 -0.56512784E+01 -0.12997284E-17
    2072 -0.56515142E+01 -0.12997256E-17
    2073 -0.56517456E+01 -0.12997277E-17
    2074 -0.56519480E+01 -0.12997267E-17
    2075 -0.56521526E+01 -0.12997350E-17
    2076 -0.56523566E+01 -0.12997356E-17
    2077 -0.56525066E+01 -0.12997371E-17
    2078 -0.56526910E+01 -0.12997339E-17
    2079 -0.56528073E+01 -0.12997338E-17
    2080 -0.56530492E+01 -0.12997372E-17
    2081 -0.56532835E+01 -0.12997362E-17
    2082 -0.56535218E+01 -0.12997374E-17
    2083 -0.56537766E+01 -0.12997366E-17
    2084 -0.56540913E+01 -0.12997404E-17
    2085 -0.56544192E+01 -0.12997504E-17
    2086 -0.56546417E+01 -0.12997436E-17
    2087 -0.56550120E+01 -0.12997411E-17
    2088 -0.56552662E+01 -0.12997412E-17
    2089 -0.56554949E+01 -0.12997370E-17
