 n     ch_hole col3 
    2831 -0.57829407E+01 -0.12923496E-17
    2832 -0.57831426E+01 -0.12923551E-17
    2833 -0.57832754E+01 -0.12923585E-17
    2834 -0.57834215E+01 -0.12923572E-17
    2835 -0.57835492E+01 -0.12923584E-17
    2836 -0.57836923E+01 -0.12923586E-17
    2837 -0.57838127E+01 -0.12923603E-17
    2838 -0.57840061E+01 -0.12923585E-17
    2839 -0.57841357E+01 -0.12923594E-17
    2840 -0.57842793E+01 -0.12923540E-17
    2841 -0.57844478E+01 -0.12923534E-17
    2842 -0.57845960E+01 -0.12923495E-17
    2843 -0.57847205E+01 -0.12923484E-17
    2844 -0.57848485E+01 -0.12923476E-17
    2845 -0.57849454E+01 -0.12923428E-17
    2846 -0.57850197E+01 -0.12923443E-17
    2847 -0.57851023E+01 -0.12923434E-17
    2848 -0.57851865E+01 -0.12923400E-17
    2849 -0.57853975E+01 -0.12923374E-17
    2850 -0.57855108E+01 -0.12923384E-17
    2851 -0.57856254E+01 -0.12923422E-17
    2852 -0.57857191E+01 -0.12923416E-17
    2853 -0.57859300E+01 -0.12923421E-17
    2854 -0.57860577E+01 -0.12923392E-17
    2855 -0.57862582E+01 -0.12923398E-17
    2856 -0.57864255E+01 -0.12923432E-17
    2857 -0.57866023E+01 -0.12923456E-17
    2858 -0.57867501E+01 -0.12923506E-17
    2859 -0.57869499E+01 -0.12923480E-17
    2860 -0.57872995E+01 -0.12923434E-17
    2861 -0.57874790E+01 -0.12923474E-17
    2862 -0.57876671E+01 -0.12923550E-17
    2863 -0.57878315E+01 -0.12923533E-17
    2864 -0.57880552E+01 -0.12923549E-17
    2865 -0.57882346E+01 -0.12923545E-17
    2866 -0.57884239E+01 -0.12923489E-17
    2867 -0.57885854E+01 -0.12923442E-17
    2868 -0.57887427E+01 -0.12923427E-17
    2869 -0.57889301E+01 -0.12923459E-17
    2870 -0.57891353E+01 -0.12923510E-17
    2871 -0.57892662E+01 -0.12923508E-17
    2872 -0.57894720E+01 -0.12923520E-17
    2873 -0.57896591E+01 -0.12923414E-17
    2874 -0.57897792E+01 -0.12923398E-17
    2875 -0.57899614E+01 -0.12923431E-17
    2876 -0.57901125E+01 -0.12923383E-17
