n ch_hole col3
    1000 -0.66031805E+01 -0.93102880E-17
    1001 -0.66040325E+01 -0.93103219E-17
    1002 -0.66049538E+01 -0.93105260E-17
    1003 -0.66058740E+01 -0.93111573E-17
    1004 -0.66069692E+01 -0.93114219E-17
    1005 -0.66081840E+01 -0.93118886E-17
    1006 -0.66092708E+01 -0.93114828E-17
    1007 -0.66103902E+01 -0.93112982E-17
    1008 -0.66116782E+01 -0.93118504E-17
    1009 -0.66130440E+01 -0.93116053E-17
    1010 -0.66137643E+01 -0.93120120E-17
    1011 -0.66149596E+01 -0.93124250E-17
    1012 -0.66158589E+01 -0.93122691E-17
    1013 -0.66168485E+01 -0.93127315E-17
    1014 -0.66179130E+01 -0.93130589E-17
    1015 -0.66189299E+01 -0.93135481E-17
    1016 -0.66199618E+01 -0.93136641E-17
    1017 -0.66210289E+01 -0.93140277E-17
    1018 -0.66221881E+01 -0.93140212E-17
    1019 -0.66231500E+01 -0.93139539E-17
    1020 -0.66240998E+01 -0.93134757E-17
    1021 -0.66249572E+01 -0.93144555E-17
    1022 -0.66260341E+01 -0.93144293E-17
    1023 -0.66269519E+01 -0.93151366E-17
    1024 -0.66278447E+01 -0.93156552E-17
    1025 -0.66290321E+01 -0.93164225E-17
    1026 -0.66298513E+01 -0.93164789E-17
    1027 -0.66307678E+01 -0.93169444E-17
    1028 -0.66318430E+01 -0.93170554E-17
    1029 -0.66327716E+01 -0.93178397E-17
    1030 -0.66336017E+01 -0.93178321E-17
    1031 -0.66346407E+01 -0.93182664E-17
    1032 -0.66356175E+01 -0.93183402E-17
    1033 -0.66364617E+01 -0.93187339E-17
    1034 -0.66373308E+01 -0.93181907E-17
    1035 -0.66381487E+01 -0.93184364E-17
    1036 -0.66390643E+01 -0.93186433E-17
    1037 -0.66397998E+01 -0.93190995E-17
    1038 -0.66409961E+01 -0.93190080E-17
    1039 -0.66418517E+01 -0.93188539E-17
    1040 -0.66427647E+01 -0.93192562E-17
    1041 -0.66435697E+01 -0.93191864E-17
    1042 -0.66444609E+01 -0.93193288E-17
    1043 -0.66455912E+01 -0.93199418E-17
    1044 -0.66464761E+01 -0.93206294E-17
    1045 -0.66474181E+01 -0.93208979E-17
    1046 -0.66483561E+01 -0.93210724E-17
    1047 -0.66492900E+01 -0.93211171E-17
    1048 -0.66502712E+01 -0.93212140E-17
